src,tgt,p_src,p_tgt
737,0,69284,35
738,0,69296,35
1811,0,694759,35
1835,0,735303,35
790,0,78511,35
1861,0,787016,35
1862,0,801170,35
803,0,81722,35
806,0,82098,35
817,0,84021,35
822,0,85352,35
827,0,86359,35
186,0,8865,35
13,0,887,35
880,0,97645,35
883,0,98698,35
2057,1,1109017,40
2149,1,1114442,40
950,1,116552,40
1933,2,1103315,114
1973,2,1105394,114
1993,2,1106112,114
1994,2,1106172,114
2002,2,1106406,114
2032,2,1107455,114
2090,2,1111052,114
2137,2,1114125,114
2203,2,1117942,114
2209,2,1118245,114
2212,2,1118332,114
2244,2,1120170,114
2317,2,1126029,114
977,2,124064,114
4,2,128,114
5,2,130,114
1033,2,136665,114
1178,2,191404,114
1185,2,193742,114
368,2,23258,114
414,2,28227,114
421,2,28287,114
424,2,28350,114
427,2,28387,114
432,2,28471,114
434,2,28485,114
1398,2,341188,114
525,2,38480,114
541,2,39403,114
9,2,434,114
650,2,55968,114
667,2,58540,114
113,2,6155,114
116,2,6170,114
118,2,6196,114
126,2,6220,114
705,2,64484,114
167,2,7432,114
1851,2,755217,114
172,2,8213,114
846,2,91975,114
1901,2,976334,114
2065,3,1109581,117
1077,3,149669,117
301,3,17476,117
1169,3,189708,117
1211,3,206259,117
413,3,28202,117
420,3,28278,117
427,3,28387,117
432,3,28471,117
477,3,32872,117
478,3,33013,117
1398,3,341188,117
525,3,38480,117
541,3,39403,117
116,3,6170,117
122,3,6214,117
774,3,75674,117
2137,4,1114125,128
334,4,20526,128
541,4,39403,128
846,4,91975,128
262,5,13960,130
1400,5,345340,130
541,5,39403,130
2206,7,1118092,288
514,7,36167,288
2544,8,1135125,424
1237,8,218666,424
598,8,47684,424
1322,9,267003,434
666,10,58454,463
1915,11,1102364,504
2112,11,1112650,504
12,11,506,504
837,11,89416,504
1915,12,1102364,506
2005,12,1106546,506
837,12,89416,506
207,13,10796,887
1965,13,1105033,887
2095,13,1111304,887
2117,13,1112911,887
2127,13,1113614,887
940,13,114308,887
240,13,12576,887
1020,13,134128,887
1109,13,161221,887
1127,13,170798,887
301,13,17476,887
326,13,19045,887
350,13,20972,887
1321,13,265203,887
431,13,28456,887
1361,13,299195,887
1362,13,299197,887
1391,13,334153,887
502,13,35490,887
524,13,38205,887
1640,13,595056,887
111,13,6151,887
121,13,6213,887
123,13,6215,887
706,13,64519,887
830,13,87363,887
1901,13,976334,887
1942,14,1103979,906
1971,14,1105344,906
2145,14,1114352,906
2561,14,1136397,906
2583,14,1140040,906
494,14,34355,906
15,14,910,906
1952,15,1104379,910
1971,15,1105344,910
1978,15,1105530,910
2055,15,1108834,910
2080,15,1110520,910
2136,15,1114118,910
2181,15,1116569,910
2219,15,1118848,910
2257,15,1120858,910
2276,15,1122460,910
2319,15,1126044,910
2384,15,1129111,910
2545,15,1135137,910
2583,15,1140040,910
2595,15,1152194,910
238,15,12439,910
243,15,12946,910
1004,15,131042,910
246,15,13136,910
1107,15,160705,910
1247,15,227286,910
1278,15,242637,910
420,15,28278,910
457,15,31043,910
1395,15,340075,910
1396,15,340078,910
494,15,34355,910
508,15,35905,910
563,15,42847,910
1477,15,436796,910
602,15,48550,910
104,15,5462,910
1567,15,576257,910
668,15,58552,910
106,15,5869,910
1695,15,636511,910
727,15,67292,910
1785,15,675649,910
1795,15,684372,910
1851,15,755217,910
860,15,94953,910
2016,16,1107010,936
2099,16,1111899,936
1001,16,129558,936
42,16,1956,936
1214,16,207395,936
57,16,3084,936
80,16,3828,936
531,16,38845,936
332,17,20180,940
418,17,28265,940
80,17,3828,940
1001,18,129558,941
332,18,20180,941
418,18,28265,941
80,18,3828,941
17,18,940,941
2624,19,1152896,943
80,19,3828,943
844,19,91852,943
22,20,1034,1026
1920,20,1102550,1026
1970,20,1105231,1026
2403,20,1129798,1026
2682,20,1153945,1026
22,21,1034,1033
2018,21,1107062,1033
2682,22,1153945,1034
22,23,1034,1035
2018,23,1107062,1035
2079,23,1110515,1035
2706,24,1154525,1213
1457,24,409725,1213
183,24,8766,1213
902,25,102938,1237
1916,25,1102400,1237
1993,25,1106112,1237
1060,25,143676,1237
1916,26,1102400,1246
1944,26,1104007,1246
560,26,42207,1246
658,26,57764,1246
109,26,6125,1246
1922,27,1102625,1272
2041,27,1108167,1272
2260,27,1120962,1272
936,27,112378,1272
2293,27,1123867,1272
2343,27,1128256,1272
2385,27,1129208,1272
2544,27,1135125,1272
2547,27,1135358,1272
1099,27,157805,1272
312,27,18615,1272
1179,27,192734,1272
339,27,20593,1272
1298,27,254923,1272
393,27,27230,1272
1338,27,284414,1272
453,27,30895,1272
454,27,30901,1272
1480,27,444240,1272
1512,27,520471,1272
639,27,52835,1272
1527,27,552469,1272
1529,27,560936,1272
1598,27,591016,1272
1693,27,636098,1272
711,27,65653,1272
151,27,6917,1272
152,27,6923,1272
824,27,85452,1272
825,27,85688,1272
854,27,93923,1272
881,27,97892,1272
1908,28,1031453,1365
1917,28,1102407,1365
1966,28,1105062,1365
1996,28,1106287,1365
2040,28,1108050,1365
2078,28,1110494,1365
2089,28,1110998,1365
2135,28,1113995,1365
2138,28,1114153,1365
2145,28,1114352,1365
2147,28,1114388,1365
2153,28,1114605,1365
2177,28,1116347,1365
2182,28,1116594,1365
2198,28,1117653,1365
2222,28,1119140,1365
2246,28,1120211,1365
2258,28,1120866,1365
2357,28,1128839,1365
2391,28,1129443,1365
2416,28,1130600,1365
2485,28,1131647,1365
2490,28,1131745,1365
2491,28,1131748,1365
2516,28,1132922,1365
2518,28,1132968,1365
2545,28,1135137,1365
2548,28,1135368,1365
2562,28,1136422,1365
2563,28,1136442,1365
2591,28,1152143,1365
2621,28,1152821,1365
2693,28,1154169,1365
972,28,120084,1365
1047,28,139865,1365
1097,28,157401,1365
1109,28,161221,1365
1128,28,171225,1365
1156,28,184918,1365
1159,28,188318,1365
1160,28,188471,1365
358,28,22835,1365
369,28,23448,1365
370,28,23502,1365
371,28,23507,1365
1268,28,237521,1365
389,28,26850,1365
1389,28,330148,1365
1395,28,340075,1365
1397,28,340299,1365
544,28,39904,1365
1477,28,436796,1365
608,28,49482,1365
1529,28,560936,1365
1544,28,562123,1365
1669,28,628500,1365
1758,28,648232,1365
1761,28,649731,1365
739,28,69392,1365
162,28,7276,1365
164,28,7297,1365
786,28,77758,1365
1859,28,782486,1365
814,28,83826,1365
820,28,85299,1365
1875,28,853150,1365
841,28,90888,1365
852,28,93555,1365
1889,28,948299,1365
1890,28,948846,1365
1892,28,949318,1365
1893,28,949511,1365
1894,28,950052,1365
1895,28,950305,1365
1921,30,1102567,1481
1991,30,1106052,1481
2046,30,1108267,1481
2096,30,1111614,1481
2134,30,1113934,1481
2158,30,1114864,1481
2191,30,1117184,1481
2227,30,1119295,1481
2250,30,1120563,1481
2673,30,1153891,1481
262,30,13960,1481
1203,30,200480,1481
1449,30,399173,1481
92,30,4878,1481
1514,30,521207,1481
1517,30,521269,1481
1943,31,1103985,1688
2469,31,1131360,1688
2525,31,1133338,1688
2532,31,1134022,1688
2570,31,1136814,1688
2639,31,1153065,1688
1083,31,152483,1688
32,31,1694,1688
542,31,39474,1688
571,31,44368,1688
1570,31,576725,1688
1753,31,647413,1688
737,31,69284,1688
1811,31,694759,1688
817,31,84021,1688
542,32,39474,1694
2161,33,1115291,1717
2176,33,1116336,1717
2541,33,1135108,1717
620,33,50381,1717
1831,33,733167,1717
504,34,35797,1786
2150,35,1114502,1817
2049,36,1108389,1919
2065,36,1109581,1919
998,37,129042,1949
61,37,3101,1949
59,38,3095,1951
2024,39,1107215,1952
2099,39,1111899,1952
37,39,1949,1952
61,39,3101,1952
2647,40,1153166,1953
2659,40,1153724,1953
2660,40,1153728,1953
37,40,1949,1953
930,41,110163,1955
2075,41,1110390,1955
2301,41,1125386,1955
42,41,1956,1955
891,42,101143,1956
2099,42,1111899,1956
2211,42,1118302,1956
2642,42,1153101,1956
2645,42,1153150,1956
35,42,1817,1956
1316,42,263486,1956
810,42,83449,1956
891,43,101143,1959
2624,43,1152896,1959
2660,43,1153728,1959
1127,43,170798,1959
1214,43,207395,1959
60,43,3097,1959
1374,43,310530,1959
530,43,38839,1959
760,43,73327,1959
807,43,82664,1959
1918,44,1102442,1997
2050,44,1108551,1997
2062,44,1109439,1997
2063,44,1109542,1997
1003,44,129897,1997
1090,44,154982,1997
74,44,3233,1997
612,44,49811,1997
158,44,7032,1997
1918,45,1102442,1999
2281,45,1123068,1999
2476,45,1131471,1999
534,45,39126,1999
141,45,6771,1999
202,46,10186,2354
2022,46,1107140,2354
2132,46,1113852,2354
2412,46,1130539,2354
1089,46,154134,2354
549,46,40151,2354
766,46,74749,2354
1906,47,1000012,2440
1911,47,1061127,2440
2000,47,1106388,2440
2020,47,1107095,2440
2050,47,1108551,2440
2076,47,1110426,2440
2151,47,1114512,2440
2200,47,1117786,2440
2227,47,1119295,2440
2252,47,1120650,2440
2330,47,1127619,2440
2651,47,1153254,2440
1034,47,136766,2440
1036,47,136768,2440
1078,47,151430,2440
312,47,18615,2440
1224,47,212777,2440
373,47,23546,2440
393,47,27230,2440
612,47,49811,2440
613,47,49843,2440
614,47,49844,2440
615,47,49847,2440
1592,47,582343,2440
1598,47,591016,2440
1599,47,591017,2440
702,47,63931,2440
151,47,6917,2440
152,47,6923,2440
755,47,72908,2440
899,48,102406,2653
918,48,107177,2653
1946,48,1104055,2653
2174,48,1116268,2653
2186,48,1116842,2653
2217,48,1118764,2653
2235,48,1119751,2653
2590,48,1152075,2653
1119,48,167656,2653
1135,48,175291,2653
1198,48,197783,2653
442,48,28641,2653
1384,48,321861,2653
1406,48,350362,2653
90,48,4660,2653
670,48,59045,2653
109,48,6125,2653
710,48,65650,2653
1961,49,1104851,2654
2008,49,1106630,2654
2039,49,1107861,2654
2077,49,1110438,2654
2186,49,1116842,2654
2273,49,1121867,2654
2294,49,1123926,2654
2590,49,1152075,2654
1198,49,197783,2654
1221,49,211906,2654
398,49,27250,2654
1492,49,463825,2654
638,49,52784,2654
2162,50,1115375,2658
2421,50,1130676,2658
2425,50,1130808,2658
2481,50,1131607,2658
2517,50,1132948,2658
2554,50,1135899,2658
2584,50,1140230,2658
1253,50,230884,2658
1265,50,236759,2658
1335,50,282700,2658
1442,50,395540,2658
1579,50,578347,2658
1813,50,696342,2658
1815,50,696345,2658
1816,50,696346,2658
1843,50,751408,2658
884,50,99023,2658
2232,51,1119671,2663
1980,52,1105574,2665
2119,52,1113035,2665
2162,52,1115375,2665
2280,52,1122704,2665
2421,52,1130676,2665
2425,52,1130808,2665
2481,52,1131607,2665
2507,52,1132486,2665
2517,52,1132948,2665
2518,52,1132968,2665
1209,52,205192,2665
1253,52,230884,2665
1267,52,237489,2665
50,52,2658,2665
1442,52,395540,2665
567,52,43639,2665
1576,52,578306,2665
1577,52,578309,2665
1578,52,578337,2665
1579,52,578347,2665
1591,52,582139,2665
1677,52,630817,2665
1680,52,631052,2665
1815,52,696345,2665
1816,52,696346,2665
1843,52,751408,2665
1854,52,763009,2665
884,52,99023,2665
2042,53,1108169,2695
2245,53,1120197,2695
55,53,2698,2695
1399,53,342802,2695
2040,54,1108050,2696
2042,54,1108169,2696
2119,54,1113035,2696
2140,54,1114192,2696
2205,54,1118083,2696
2257,54,1120858,2696
2286,54,1123239,2696
2519,54,1133004,2696
1107,54,160705,2696
1301,54,256106,2696
53,54,2695,2696
55,54,2698,2696
1399,54,342802,2696
1495,54,469504,2696
102,54,5348,2696
106,54,5869,2696
885,54,99025,2696
2140,55,1114192,2698
1301,55,256106,2698
53,55,2695,2698
1399,55,342802,2698
885,55,99025,2698
2255,56,1120777,2702
233,56,12330,2702
1444,56,395553,2702
751,56,72056,2702
2023,57,1107171,3084
1299,57,255233,3084
481,57,33303,3084
282,58,15889,3085
1244,58,221302,3085
456,58,30973,3085
1445,58,395725,3085
96,58,5062,3085
810,58,83449,3085
929,59,110162,3095
930,59,110163,3095
1238,59,218682,3095
810,59,83449,3095
1995,60,1106236,3097
999,60,129045,3097
37,60,1949,3097
39,60,1952,3097
61,60,3101,3097
929,61,110162,3101
930,61,110163,3101
931,61,110164,3101
743,61,70441,3101
908,62,103529,3112
930,62,110163,3112
931,62,110164,3112
2611,62,1152564,3112
37,62,1949,3112
1496,62,470511,3112
787,62,77826,3112
788,62,77829,3112
2070,63,1110000,3187
1002,63,129896,3187
1003,63,129897,3187
1334,63,280876,3187
100,63,5086,3187
915,64,105865,3191
2012,64,1106789,3191
2325,64,1127530,3191
2454,64,1131267,3191
1002,64,129896,3191
1003,64,129897,3191
1043,64,137873,3191
1112,64,162664,3191
1372,64,308920,3191
1376,64,310742,3191
65,64,3192,3191
1466,64,423463,3191
100,64,5086,3191
1531,64,561364,3191
1704,64,642827,3191
915,65,105865,3192
1002,65,129896,3192
1376,65,310742,3192
64,65,3191,3192
1466,65,423463,3192
100,65,5086,3192
1531,65,561364,3192
1704,65,642827,3192
1906,66,1000012,3217
1120,66,167670,3217
1269,66,238099,3217
711,66,65653,3217
828,66,86840,3217
2004,67,1106492,3218
2076,67,1110426,3218
2236,67,1119987,3218
2243,67,1120169,3218
2600,67,1152290,3218
2653,67,1153264,3218
1158,67,187354,3218
1331,67,277263,3218
499,67,35070,3218
1464,67,417017,3218
613,67,49843,3218
138,67,6639,3218
718,67,66782,3218
140,67,6767,3218
156,67,6941,3218
2166,68,1115677,3220
2313,68,1125992,3220
2351,68,1128430,3220
2417,68,1130634,3220
2487,68,1131728,3220
2509,68,1132706,3220
971,68,120039,3220
1069,68,145215,3220
1120,68,167670,3220
1401,68,346243,3220
515,68,36620,3220
533,68,39124,3220
553,68,40922,3220
1472,68,429805,3220
1769,68,654177,3220
740,68,69397,3220
185,68,8832,3220
1939,69,1103737,3222
2141,69,1114222,3222
2434,69,1131137,3222
2497,69,1132157,3222
1119,69,167656,3222
1898,69,964248,3222
2497,70,1132157,3223
2642,70,1153101,3223
2645,70,1153150,3223
1119,70,167656,3223
1120,70,167670,3223
887,71,100197,3229
1909,71,1050679,3229
1940,71,1103960,3229
1985,71,1105718,3229
2007,71,1106568,3229
2044,71,1108209,3229
2055,71,1108834,3229
2061,71,1109392,3229
2116,71,1112767,3229
2298,71,1125082,3229
2308,71,1125895,3229
2318,71,1126037,3229
2357,71,1128839,3229
2361,71,1128868,3229
2428,71,1130915,3229
2429,71,1130927,3229
2431,71,1130931,3229
2485,71,1131647,3229
2491,71,1131748,3229
2502,71,1132418,3229
2586,71,1140289,3229
2599,71,1152277,3229
2615,71,1152673,3229
2693,71,1154169,3229
2700,71,1154251,3229
963,71,118559,3229
1012,71,133550,3229
1097,71,157401,3229
289,71,16461,3229
1165,71,189577,3229
370,71,23502,3229
381,71,25181,3229
382,71,25184,3229
390,71,27174,3229
409,71,27631,3229
468,71,31769,3229
483,71,33412,3229
501,71,35343,3229
507,71,35863,3229
509,71,35922,3229
1440,71,390922,3229
1446,71,396412,3229
1479,71,444191,3229
1485,71,447250,3229
602,71,48550,3229
608,71,49482,3229
637,71,52515,3229
688,71,62347,3229
1698,71,641976,3229
1770,71,654326,3229
157,71,7022,3229
752,71,72101,3229
804,71,82087,3229
806,71,82098,3229
814,71,83826,3229
841,71,90888,3229
1885,71,919885,3229
847,71,92065,3229
1889,71,948299,3229
1893,71,949511,3229
874,71,96335,3229
912,72,104840,3231
1925,72,1102761,3231
1998,72,1106330,3231
1999,72,1106370,3231
2019,72,1107067,3231
2133,72,1113926,3231
2164,72,1115471,3231
2301,72,1125386,3231
2355,72,1128536,3231
2476,72,1131471,3231
2648,72,1153169,3231
1120,72,167670,3231
1151,72,180399,3231
1203,72,200480,3231
344,72,20850,3231
382,72,25184,3231
1303,72,259126,3231
1314,72,263279,3231
77,72,3237,3231
1388,72,328370,3231
533,72,39124,3231
534,72,39126,3231
584,72,46431,3231
609,72,49660,3231
131,72,6334,3231
695,72,63477,3231
696,72,63486,3231
1693,72,636098,3231
715,72,66594,3231
733,72,68463,3231
181,72,8699,3231
184,72,8821,3231
1998,73,1106330,3232
2281,73,1123068,3232
2355,73,1128536,3232
344,73,20850,3232
349,73,20942,3232
1515,73,521251,3232
715,73,66594,3232
1939,74,1103737,3233
2141,74,1114222,3233
2304,74,1125467,3233
1180,74,192850,3233
44,74,1997,3233
1328,74,272720,3233
1506,74,509379,3233
715,74,66594,3233
1900,74,976284,3233
2141,75,1114222,3235
711,75,65653,3235
2304,76,1125467,3236
1120,76,167670,3236
74,76,3233,3236
77,76,3237,3236
1646,76,601561,3236
1898,77,964248,3237
2081,78,1110531,3240
2434,78,1131137,3240
74,78,3233,3240
515,78,36620,3240
536,78,39130,3240
1898,78,964248,3240
1937,79,1103610,3243
1946,79,1104055,3243
2087,79,1110947,3243
2128,79,1113739,3243
1367,79,307336,3243
453,79,30895,3243
454,79,30901,3243
471,79,31932,3243
1406,79,350362,3243
1419,79,368431,3243
1877,79,854434,3243
874,79,96335,3243
2624,80,1152896,3828
42,80,1956,3828
1214,80,207395,3828
1374,80,310530,3828
99,81,5075,3932
1974,82,1105428,4274
2155,82,1114664,4274
2221,82,1119078,4274
916,83,105899,4329
2086,83,1110768,4329
2095,83,1111304,4329
417,83,28254,4329
1443,83,395547,4329
586,83,46468,4329
1508,83,510718,4329
1938,84,1103676,4330
1939,84,1103737,4330
1954,84,1104449,4330
2055,84,1108834,4330
210,84,11093,4330
2062,84,1109439,4330
2077,84,1110438,4330
2118,84,1112929,4330
2145,84,1114352,4330
2505,84,1132459,4330
2506,84,1132461,4330
2541,84,1135108,4330
2560,84,1136393,4330
2561,84,1136397,4330
2627,84,1152917,4330
961,84,118436,4330
969,84,119956,4330
970,84,120013,4330
243,84,12946,4330
1043,84,137873,4330
1079,84,151708,4330
1122,84,168410,4330
33,84,1717,4330
1362,84,299197,4330
475,84,32688,4330
1388,84,328370,4330
504,84,35797,4330
520,84,37884,4330
1437,84,390889,4330
1444,84,395553,4330
1470,84,428610,4330
83,84,4329,4330
586,84,46468,4330
1798,84,684986,4330
739,84,69392,4330
741,84,69418,4330
1848,84,753265,4330
1891,84,949217,4330
1951,85,1104300,4335
2264,85,1121254,4335
2558,85,1136310,4335
2561,85,1136397,4335
2588,85,1140547,4335
952,85,116790,4335
33,85,1717,4335
1271,85,239800,4335
476,85,32698,4335
509,85,35922,4335
1437,85,390889,4335
586,85,46468,4335
685,85,62274,4335
690,85,62417,4335
1850,85,755082,4335
872,85,95718,4335
1919,86,1102548,4553
1908,87,1031453,4584
1920,87,1102550,4584
2128,87,1113739,4584
2177,87,1116347,4584
2238,87,1120020,4584
2357,87,1128839,4584
2413,87,1130567,4584
2416,87,1130600,4584
977,87,124064,4584
27,87,1272,4584
4,87,128,4584
1010,87,132806,4584
260,87,13885,4584
261,87,13917,4584
1122,87,168410,4584
1160,87,188471,4584
1185,87,193742,4584
420,87,28278,4584
421,87,28287,4584
1355,87,293285,4584
514,87,36167,4584
111,87,6151,4584
113,87,6155,4584
117,87,6184,4584
118,87,6196,4584
120,87,6210,4584
121,87,6213,4584
122,87,6214,4584
1669,87,628500,4584
1675,87,628815,4584
1859,87,782486,4584
1901,87,976334,4584
6,88,164,4637
1989,89,1105887,4649
2334,89,1127851,4649
1030,89,135765,4649
1031,89,135766,4649
1459,89,411092,4649
9,89,434,4649
1486,89,449841,4649
151,89,6917,4649
182,89,8703,4649
312,90,18615,4660
1471,90,429781,4660
94,90,5038,4660
1592,90,582343,4660
901,91,102884,4804
2043,91,1108175,4804
2111,91,1112574,4804
2652,91,1153262,4804
222,91,12182,4804
228,91,12210,4804
1098,91,157761,4804
6,91,164,4804
388,91,25805,4804
577,91,45189,4804
735,91,68505,4804
785,91,77515,4804
1900,91,976284,4804
1904,91,989397,4804
1921,92,1102567,4878
170,93,7867,4983
1961,95,1104851,5055
2039,95,1107861,5055
2235,95,1119751,5055
2273,95,1121867,5055
1003,95,129897,5055
1119,95,167656,5055
2250,96,1120563,5062
412,96,28026,5062
97,96,5064,5062
98,96,5069,5062
1514,96,521207,5062
2250,97,1120563,5064
2263,97,1121176,5064
2383,97,1129106,5064
1327,97,272345,5064
412,97,28026,5064
1431,97,385067,5064
98,97,5069,5064
2250,98,1120563,5069
1431,98,385067,5069
97,98,5064,5069
2250,99,1120563,5075
97,99,5064,5075
98,99,5069,5075
927,100,109323,5086
1984,100,1105698,5086
1002,100,129896,5086
1041,100,137849,5086
63,100,3187,5086
64,100,3191,5086
1409,100,354004,5086
1466,100,423463,5086
1478,100,440815,5086
1531,100,561364,5086
796,100,79809,5086
2618,101,1152714,5194
1012,101,133550,5194
1014,101,133563,5194
1015,101,133566,5194
1049,101,140569,5194
2040,102,1108050,5348
2140,102,1114192,5348
2205,102,1118083,5348
2245,102,1120197,5348
2257,102,1120858,5348
2286,102,1123239,5348
2518,102,1132968,5348
1045,102,139547,5348
1301,102,256106,5348
53,102,2695,5348
54,102,2696,5348
1399,102,342802,5348
778,102,75695,5348
1883,102,911198,5348
885,102,99025,5348
1980,103,1105574,5454
2350,103,1128425,5454
2423,103,1130680,5454
2384,104,1129111,5462
969,104,119956,5462
1247,104,227286,5462
15,104,910,5462
1907,105,1022969,5600
2201,105,1117833,5600
1299,105,255233,5600
481,105,33303,5600
787,105,77826,5600
2080,106,1110520,5869
15,106,910,5869
1922,107,1102625,5959
1081,107,152226,5959
1526,107,545647,5959
1594,107,582511,5959
1922,108,1102625,5966
2000,108,1106388,5966
2039,108,1107861,5966
2075,108,1110390,5966
2150,108,1114502,5966
733,108,68463,5966
828,108,86840,5966
181,108,8699,5966
2035,109,1107572,6125
229,109,12211,6125
406,109,27612,6125
442,109,28641,6125
1432,109,385251,6125
2506,110,1132461,6130
2691,110,1154123,6130
2692,110,1154124,6130
1780,110,671269,6130
1787,110,675847,6130
2006,111,1106547,6151
2028,111,1107355,6151
2413,111,1130567,6151
29,111,1385,6151
1185,111,193742,6151
112,111,6152,6151
113,111,6155,6151
121,111,6213,6151
122,111,6214,6151
1361,112,299195,6152
2317,113,1126029,6155
2015,114,1106966,6163
2090,114,1111052,6163
2128,114,1113739,6163
5,114,130,6163
1020,114,134128,6163
336,114,20534,6163
413,114,28202,6163
876,114,96847,6163
2002,115,1106406,6169
2154,115,1114629,6169
2413,115,1130567,6169
1126,115,170338,6169
334,115,20526,6169
165,115,7419,6169
209,117,10981,6184
1985,117,1105718,6184
2254,117,1120731,6184
2562,117,1136422,6184
258,117,13686,6184
409,117,27631,6184
71,117,3229,6184
1450,117,399339,6184
2254,118,1120731,6196
2637,118,1153056,6196
427,118,28387,6196
667,118,58540,6196
801,118,81350,6196
1901,118,976334,6196
2047,119,1108329,6209
957,119,118259,6209
958,119,118260,6209
1122,119,168410,6209
1152,119,181782,6209
1225,119,212930,6209
434,119,28485,6209
525,119,38480,6209
172,119,8213,6209
189,119,8875,6209
865,119,95579,6209
2254,120,1120731,6210
207,121,10796,6213
1933,121,1103315,6213
1986,121,1105764,6213
2002,121,1106406,6213
2006,121,1106547,6213
2015,121,1106966,6213
2028,121,1107355,6213
2032,121,1107455,6213
2047,121,1108329,6213
2069,121,1109957,6213
2090,121,1111052,6213
2092,121,1111230,6213
2095,121,1111304,6213
2121,121,1113182,6213
2123,121,1113459,6213
2127,121,1113614,6213
2177,121,1116347,6213
2199,121,1117760,6213
2203,121,1117942,6213
2238,121,1120020,6213
2275,121,1122425,6213
2289,121,1123553,6213
2344,121,1128267,6213
2382,121,1129096,6213
2386,121,1129243,6213
2413,121,1130567,6213
977,121,124064,6213
240,121,12576,6213
4,121,128,6213
247,121,13193,6213
1020,121,134128,6213
29,121,1385,6213
262,121,13960,6213
1086,121,153598,6213
1109,121,161221,6213
298,121,17208,6213
1185,121,193742,6213
1194,121,195361,6213
334,121,20526,6213
336,121,20534,6213
1236,121,218410,6213
375,121,23774,6213
1276,121,241133,6213
413,121,28202,6213
414,121,28227,6213
420,121,28278,6213
424,121,28350,6213
432,121,28471,6213
434,121,28485,6213
1354,121,293271,6213
1361,121,299195,6213
1362,121,299197,6213
1408,121,353541,6213
507,121,35863,6213
525,121,38480,6213
1450,121,399339,6213
9,121,434,6213
650,121,55968,6213
667,121,58540,6213
1640,121,595056,6213
111,121,6151,6213
113,121,6155,6213
114,121,6163,6213
117,121,6184,6213
120,121,6210,6213
122,121,6214,6213
123,121,6215,6213
126,121,6220,6213
127,121,6224,6213
1670,121,628667,6213
1671,121,628668,6213
1675,121,628815,6213
1782,121,672064,6213
165,121,7419,6213
1851,121,755217,6213
846,121,91975,6213
1986,122,1105764,6214
1994,122,1106172,6214
2059,122,1109199,6214
2169,122,1115886,6214
2317,122,1126029,6214
2416,122,1130600,6214
2619,122,1152740,6214
977,122,124064,6214
262,122,13960,6214
